participant_no,avg_rwa,intro_elapse_t,test_elapse_t,survey_elapse_t,country_ip,education_level,urban_classification,gender,english_native,age,handedness,religion,sexual_preference,race,voted,married,family_size,survey_accurate,major
207,5,68,261,185,US,less than high school,suburban,female,yes,16,right,agnostic,other,white or indigenous australian or native american,no,never married,3,TRUE,NA
208,5.1,2117,153,152,US,high school,rural,male,yes,45,left,other,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,physics
209,4.7,30,305,116,CA,high school,urban,female,no,16,right,buddhist,asexual,asian,no,never married,3,TRUE,NA
210,5.3,13,177,161,TR,high school,urban,female,no,18,right,NA,heterosexual,asian,yes,never married,1,TRUE,medicine
211,5.3,11,228,174,SE,high school,suburban,male,no,21,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,civil engineering
212,5,37,281,281,FR,university degree,rural,female,no,19,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,german
213,4.8,43,164,174,GB,high school,urban,female,yes,18,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
214,5.4,1,252,146,US,high school,rural,female,yes,19,left,christian (other),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
215,4.35,8,286,182,US,high school,urban,male,yes,24,right,atheist,heterosexual,other,no,previously married,4,TRUE,war
216,4.75,26,357,259,CA,high school,urban,male,yes,15,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
217,4.55,17,258,125,US,less than high school,rural,male,yes,15,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
218,4.6,40,381,296,NA,high school,rural,female,yes,73,right,other,heterosexual,white or indigenous australian or native american,yes,previously married,5,TRUE,NA
219,3.85,191,164,118,NA,less than high school,suburban,male,yes,17,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
220,5.3,421,475,233,GR,high school,urban,male,no,17,right,christian (other),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
221,4.65,602,183,162,DE,university degree,rural,male,no,27,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,histoty
222,4.65,2,138,85,US,less than high school,urban,female,yes,18,right,atheist,bisexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
223,5.15,6,219,240,US,university degree,suburban,female,yes,29,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,political science
224,5,7,146,244,RS,graduate degree,urban,male,no,28,right,christian (other),heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,printmaking art
225,4.45,2,158,138,US,university degree,suburban,male,yes,22,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,accounting
226,5,4,121,115,US,university degree,suburban,male,yes,20,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,english
227,4.3,1,1029,175,GB,high school,suburban,male,yes,18,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
228,4.95,9,113,93,US,less than high school,suburban,female,yes,16,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
229,5,3274,100,84,US,high school,suburban,male,yes,19,right,agnostic,other,white or indigenous australian or native american,no,never married,1,TRUE,linguistics
230,4.75,19,266,174,GB,high school,urban,male,yes,26,right,other,other,white or indigenous australian or native american,no,never married,2,TRUE,psychology
231,4,725,6384,131,US,less than high school,suburban,male,yes,17,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
232,4.5,11,381,226,US,less than high school,urban,female,yes,29,right,agnostic,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
233,4.85,301,250,208,US,university degree,suburban,male,yes,22,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,aa/ working on physics
234,5,8,124,104,US,university degree,suburban,female,yes,28,left,atheist,bisexual,white or indigenous australian or native american,yes,currently married,2,TRUE,business
235,5.05,3,131,110,MY,less than high school,urban,male,yes,15,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
236,4.1,6,1203,166,AU,university degree,suburban,female,yes,50,left,hindu,bisexual,white or indigenous australian or native american,yes,previously married,2,TRUE,psychology
237,4.65,8031,333,208,NA,university degree,urban,male,no,29,right,christian (other),heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,political science
238,4.75,75,238,134,US,high school,suburban,male,yes,18,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,NA
239,5.25,1,260,99,TR,university degree,urban,male,no,19,right,christian (other),homosexual,white or indigenous australian or native american,no,never married,1,TRUE,molecular biology
240,4.75,52,283,151,US,university degree,NA,male,yes,65,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,history
241,5.05,3,188,211,ZA,high school,urban,female,yes,47,right,other,asexual,white or indigenous australian or native american,NA,currently married,4,TRUE,NA
242,5.2,126,93,79,CA,high school,rural,other,yes,18,right,agnostic,other,white or indigenous australian or native american,no,never married,2,TRUE,NA
243,4.2,633,629,217,US,high school,suburban,male,yes,47,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,7,TRUE,physics
244,5,2,134,82,US,high school,suburban,male,yes,17,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
245,4.95,152,331,298,GB,high school,urban,male,yes,19,right,other,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,sound engineering
246,4.8,2,252,230,GR,university degree,rural,male,no,21,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,linguistics
247,5,3,164,148,GB,high school,suburban,male,no,16,right,muslim,asexual,asian,no,never married,1,TRUE,NA
248,4.55,1,285,149,US,high school,urban,male,yes,24,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
249,4.9,2,124,107,RS,graduate degree,urban,female,no,29,left,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,law
250,5.1,4,255,151,BG,graduate degree,urban,male,no,25,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,law
251,4.6,2,199,301,US,university degree,rural,female,yes,30,right,christian (protestant),bisexual,white or indigenous australian or native american,yes,currently married,3,TRUE,fine art
252,5.15,3,367,184,US,graduate degree,rural,male,yes,43,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,business
253,4.85,3,265,274,AT,high school,urban,male,no,19,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,NA
254,5,2,219,98,TR,university degree,urban,male,no,21,right,atheist,homosexual,white or indigenous australian or native american,yes,never married,0,TRUE,politics
255,4.2,3806,177,123,AU,less than high school,suburban,female,yes,28,right,agnostic,other,white or indigenous australian or native american,no,never married,2,TRUE,NA
256,4.4,26,190,166,US,less than high school,rural,male,yes,24,right,christian (other),heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,NA
257,4.65,2,190,125,CO,high school,urban,male,no,19,right,muslim,heterosexual,other,yes,never married,1,TRUE,biology
258,4.65,3,125,126,AU,graduate degree,suburban,female,yes,40,both,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,english
259,4.8,3,283,154,US,university degree,rural,male,yes,37,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,english
260,5.2,65,161,159,US,university degree,urban,male,yes,26,right,atheist,other,white or indigenous australian or native american,no,never married,2,TRUE,"studio art, classics"
261,5.7,37,272,184,CA,less than high school,suburban,male,yes,20,right,christian (mormon),heterosexual,white or indigenous australian or native american,no,never married,5,TRUE,NA
262,4.95,2,116,74,US,high school,rural,male,yes,31,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,NA
263,5.4,2,136,887,US,graduate degree,urban,male,yes,35,right,atheist,heterosexual,white or indigenous australian or native american,yes,previously married,2,TRUE,business
264,5.25,14,267,204,US,university degree,suburban,female,yes,24,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,economics
265,5.3,7,161,170,US,high school,suburban,male,yes,21,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,electrical engineering
266,5.1,9,133,101,US,university degree,suburban,male,yes,32,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,nursing
267,5.25,4,177,148,US,high school,suburban,male,yes,45,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,computer science
268,4.4,6,131,87,GB,less than high school,urban,male,yes,14,right,agnostic,bisexual,white or indigenous australian or native american,NA,never married,2,TRUE,NA
269,4.95,3,189,172,US,university degree,suburban,male,yes,24,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,civil engineering
270,5.25,15,197,200,US,university degree,suburban,male,yes,48,right,christian (protestant),bisexual,white or indigenous australian or native american,no,currently married,2,TRUE,public management
271,5.2,8,120,118,US,graduate degree,suburban,male,yes,25,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,english
272,5,2,216,107,US,graduate degree,urban,male,yes,33,right,other,heterosexual,white or indigenous australian or native american,no,currently married,1,TRUE,comp sci
273,5.05,6,175,214,US,university degree,suburban,male,yes,44,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,comp sci
274,4.75,7,1538,630,US,university degree,suburban,male,yes,26,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,psychology
275,5.4,3,188,167,US,graduate degree,suburban,male,yes,44,right,atheist,bisexual,white or indigenous australian or native american,yes,currently married,1,TRUE,history
276,5,24,164,97,GB,university degree,suburban,male,yes,33,right,atheist,bisexual,white or indigenous australian or native american,yes,never married,2,TRUE,physics
277,5.85,71,250,130,US,university degree,suburban,male,yes,30,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,computer science
278,5.1,5,234,176,US,graduate degree,suburban,male,yes,23,right,atheist,heterosexual,black,no,never married,3,TRUE,english
279,5.35,3,318,159,US,university degree,suburban,male,yes,28,right,agnostic,bisexual,white or indigenous australian or native american,no,currently married,3,TRUE,chemistry
